因子名称,因子代码,因子类型
息前税后利润,EBIAT,基础科目与衍生类
息税前利润,EBIT,基础科目与衍生类
企业自由现金流量,FCFF,基础科目与衍生类
毛利,GrossProfit,基础科目与衍生类
无息流动负债,IntFreeCL,基础科目与衍生类
无息非流动负债,IntFreeNCL,基础科目与衍生类
净债务,NetDebt,基础科目与衍生类
净营运资本,NetWorkingCapital,基础科目与衍生类
留存收益,RetainedEarnings,基础科目与衍生类
全部投入资本,TotalPaidinCapital,基础科目与衍生类
120日收益损失方差比,GainLossVarianceratio120,收益风险类
120日收益方差,GainVariance120,收益风险类
个股收益的120日峰度,Kurtosis120,收益风险类
120日损失方差,LossVariance120,收益风险类
120日方差,Variance120,收益风险类
120日信息比率,InformationRatio120,收益风险类
个股120日的beta值,Beta120,收益风险类
个股120日的alpha,CAPMAlpha120,收益风险类
120日特诺雷比率,Treynorratio120,收益风险类
120日夏普比率,sharperatio120,收益风险类
波幅中位数,DHILO,常用技术指标类
资金流量指标,MFI,常用技术指标类
过去1年的价格动量,REVS250,动量类
月度换手率对数,STOM,情绪类
120日平均换手率,VOL120,情绪类
当前价格处于过去1年股价的位置,FiftyTwoWeekHigh,动量类
流通市值,NegMktValue,价值类
市盈率,PE,价值类
市盈率,PE,价值类
过去3个月的价格动量,REVS60,动量类
基本每股收益,BasicEPS,每股指标类
对数流通市值,LFLO,价值类
总市值,MktValue,价值类
市现率,PCF,价值类
市销率,PS,价值类
稀释每股收益,DilutedEPS,每股指标类
每股收益TTM值,EPS,每股指标类
每股净资产,NetAssetPS,每股指标类
每股营业收入,OperatingRevenuePS,每股指标类
每股营业总收入,TORPS,每股指标类
每股资本公积金,CapitalSurplusFundPS,每股指标类
每股息税前利润,EBITPS,每股指标类
每股营业利润,OperatingProfitPS,每股指标类
每股盈余公积金,SurplusReserveFundPS,每股指标类
每股未分配利润,UndividedProfitPS,每股指标类
每股现金流量净额,CashFlowPS,每股指标类
每股股利,DividendPS,每股指标类
每股企业自由现金流量,EnterpriseFCFPS,每股指标类
每股经营活动产生的现金流量净额,OperCashFlowPS,每股指标类
每股留存收益,RetainedEarningsPS,每股指标类
每股股东自由现金流量,ShareholderFCFPS,每股指标类
