ABS,求X的绝对值
ACOS,求X的反余弦值
#IMPORT,函数连用
ASIN,求X的反正弦值
ATAN,求X的反正切值
AVEDEV,求X在N周期内的平均绝对偏差
AVPRICE,取均价
BARPOS,取某K线的位置
BACKGROUNDSTYLE,设置指标是否钝化显示
BACKSET,"若X成立,则将当前位置到N周期前的数值设为1"
BARSLAST,求上一次条件X满足到现在的周期数
BETWEEN,于B和C之间时取1(Yes)，否则取0(No)
BUY,满足条件时在副图上显示三角形做标记
CEILING,取沿数值A增大方向最接近的整数
CLOSE,取收盘(最新)价
CLOSEMINUTE,返回距离闭市前的时间（单位：分钟），方便闭市前及时平仓。
COS,求X的余弦值
COUNT,统计N周期中满足X条件的周期数。若N为0则从第一个周期开始
CROSS,下方向上穿过B时取1(Yes)，否则取0(No)
CROSS2,表示N个周期内当A从下方向上穿过B偶数次时返回1(Yes)，否则返回0(No)
CROSSUP,表示当A从下方向上穿过B时返回1(Yes)，否则返回0(No)
CROSSDOWN,表示当A从上方向下穿过B时返回1(Yes)，否则返回0(No)
CUBE,求X的三次方
DATE,取某周期的日期数（19700101-20331231）
DAY,取某周期的日数（1-31）
DEVSQ,求X的N个周期的数据偏差平方和
DMA,求X的动态移动平均。
DRAWSL,当条件满足时，在DATA数据处以每个周期相差SLOPE个价位作为斜率画LEN个周期长的线段。
DRAWLING,满足条件C1时及C2时从P1向P2画线。
DRAWNUMBER,当条件满足时在DATA位置写数字NUMBER
DRAWTEXT,"当COND条件满足时,在PRICE位置书写文字TEXT"
DUALVOLUME,"返回值代表一段时间内的（主动买-主动卖）的平均数值。DUALVOLUME('N'),返回值代表主动买-主动卖的量差。"
EMA,求X的N日平滑移动平均值
EMA2,求X的N个周期的加权平均值
EXIST,判断过去周期N内，是否有满足条件X
EXP,求e的X次幂
EVERY,判断过去一定周期N内，是否一直满足条件X
FILLRGN,当条件满足时，以颜色COLOR填充DATA1及DATA2之间形成的区域。
FILTER,当COND条件成立时，将其后N周期内的数据过滤
FLOOR,取沿A数值减小方向最接近的整数
FORCAST,求X的N周期线性回归预测值
HV,求X在N个周期内的最高值(不包含当前K线)。
HHV,求X在N个周期内的最高值。
HHVBARS,求N周期内X最高值到当前周期数。
HIGH,取最高价。
HOUR,取某周期的小时（0-23）。
ICON,当TYPE为1，则在K线最高价位置显示图标ICON，当TYPE为0，则在最低价位置显示图标ICON。
IFELSE,若满足条件X则取A，否则取B。
#IMPORT,"[CODE,PERIOD,FORMULA] AS VAR引用CODE所对应的合约PERIOD周期下指标FORMULA的数据"
INTPART,取X的整数部分。
ISDOWN,判断该周期是否收阴)。
ISEQUAL,判断该周期是否平盘
ISLASTBAR,判断是否是最后一个K线
ISLASTLINE,判断该周期是否是收盘前最后一个K线
ISUP,判断该周期是否收阳
LAST,判断过去N1到N2周期内，是否一直满足条件X。
LV,求X在N个周期内的最小值(不包含当前K线)。
LLV,求X在N个周期内的最小值。
LLVBARS,求N周期内X最低值到当前周期数
LN,求X的自然对数。
LOG,求X的常用对数。
LONGCROSS,判断A在是否在N个周期内都小于B
LOW,取得最低价。
MAX,取A，B中较大者。
MA,求X在N个周期内的简单移动平均。
MIN,取A，B中较小者。
MINUTE,取某个周期的分钟数（0-59）。
MOD,对B求模。
MONTH,取得某周期的月份（1-12）。
NOT,不满足条件X
OPEN,取得开盘价。
OPI,取得持仓量。
PARTLINE,条件COND满足时，以COLOR颜色的直线连接DATA各点。
PEAK,求ZIGZAG的前M个波峰的值。
PEAKBARS,取得ZIGZAG的前M个波峰的位置。
PLAYSOUND,条件COND满足时播放指定声音。
POLYLINE,，条件满足时，用颜色COLOR的直线连接DATA的值。
POW,求X的Y次幂。
RANGE,判断是否A大于B同时小于C
REF,取X在N个周期前的值。
REFX,，取X在N个周期后的值。
REVERSE,，取－X。
SAR,，取抛物转向值。
SELL,满足条件时在副图上显示三角形做标记
SETTLE,求到某根k线的结算价
SGN,，判断X正负数 
SIN,，求X的正弦值。
SLOPE,，求X的N周期的线型回归的斜率。
SMA,，求X的N个周期内的移动平均。
SOUND,，播放声音'N'。
SQRT,，求X的平方根。
SQUARE,，求X的平方。
STD,，求X在N个周期内的标准差。
STDP,，求X的N日总体标准差。
STICKLINE,当C条件满足时，从P1画到P2柱线。
SUM,，求X在N个周期内的总和。
SUMBARS,:求多少个周期的X向前累加能够大于等于A
TAN,，求X的正切值。
TIME,取周期的时数
TRMA,，求X在N周期内的三角移动平均。
TROUGH,，求ZIGZAG前M个波谷的值。
TROUGHBARS,，求前M个波谷的位置。
TSMA,，求X在N周期内的时间序列三角移动平均。
VALUEWHEN,，取满足条件COND时的X值
VAR,，求X在N周期内的样本方差。
VARP,，求X的N日总体样本方差。
VERTLINE,，条件COND满足时，以颜色COLOR画垂直线。
VOL,取成交量。
WEEKDAY,取得星期数（0-6）。
YEAR,取得年份（1970-2033）
ZIGZAG,求X在条件N下的之字转向值。
GETPRICE,取某一合约(文华码）的最新价
BOLD,加粗线
DOT,加虚线
MINPRICE,返回CODE所对应合约的最小变动价位
